,L,depth,p,Q,shots
0,10.0,5.0,0.92,4.0,200.0
1,10.0,5.0,0.92,5.0,200.0
2,14.0,7.0,0.92,6.0,200.0
3,14.0,7.0,0.92,7.0,200.0
