,L,depth,p,Q,shots
0,14.0,7.0,0.785,6.0,200.0
1,14.0,7.0,0.785,7.0,200.0
2,14.0,7.0,1.122,7.0,200.0
3,14.0,7.0,1.122,6.0,200.0
4,14.0,7.0,0.236,7.0,200.0
5,14.0,7.0,0.236,6.0,200.0
6,14.0,7.0,0.079,6.0,200.0
7,14.0,7.0,0.079,7.0,200.0
8,14.0,7.0,0.516,7.0,200.0
9,14.0,7.0,0.516,6.0,200.0
