,L,depth,p,Q,shots
0,6.0,3.0,0.079,3.0,200.0
1,6.0,3.0,0.516,2.0,200.0
2,6.0,3.0,0.516,3.0,200.0
3,6.0,3.0,0.079,2.0,200.0
4,6.0,3.0,0.785,2.0,200.0
5,6.0,3.0,0.236,3.0,200.0
6,6.0,3.0,1.122,2.0,200.0
7,6.0,3.0,1.122,3.0,200.0
8,6.0,3.0,0.785,3.0,200.0
9,6.0,3.0,0.236,2.0,200.0
