,L,depth,p,Q,shots
0,10.0,5.0,0.236,5.0,200.0
1,10.0,5.0,0.236,4.0,200.0
2,10.0,5.0,1.122,5.0,200.0
3,10.0,5.0,1.122,4.0,200.0
4,10.0,5.0,0.785,4.0,200.0
5,10.0,5.0,0.785,5.0,200.0
6,10.0,5.0,0.516,5.0,200.0
7,10.0,5.0,0.516,4.0,200.0
